name,type,location,description,price_per_day,rating,reviews,badge,image,features,fuel_type,transmission,seats,vendor_id
Mahindra Scorpio N,SUV,Chhatrapati Sambhajinagar,7-seater powerful SUV perfect for group trips and outstation travel. Self-drive or with driver.,3500,8.8,76,Popular,/images/mahindra-scorpio.jpg,"AC, Music System, GPS, Power Windows",Diesel,Manual,7,1
Honda City ZX,Sedan,Chhatrapati Sambhajinagar,Elegant sedan for business or leisure travel. Comfortable and fuel-efficient.,2200,8.5,54,,/images/honda-city.jpg,"AC, Sunroof, Reverse Camera, Bluetooth",Petrol,Automatic,5,2
Suzuki Swift Dzire,Sedan,Chhatrapati Sambhajinagar,Compact comfortable sedan great for city commutes and short outstation trips.,1800,8.1,89,,/images/suzuki-swift.jpg,"AC, Music System, Power Windows",Petrol,Manual,5,3
Toyota Fortuner,Premium SUV,Chhatrapati Sambhajinagar,Top-of-the-line premium SUV with full comfort for long-distance and luxury travel.,6500,9.2,43,Luxury,/images/toyota-fortuner.jpg,"AC, Leather Seats, Sunroof, 4WD, GPS",Diesel,Automatic,7,4
Maruti Ertiga,MUV,Chhatrapati Sambhajinagar,Spacious 7-seater MUV perfect for family trips. Comfortable and economical.,2500,8.3,112,Family Favorite,/images/maruti-ertiga.jpg,"AC, Music System, Power Windows, Rear AC",Petrol,Manual,7,5
Hyundai Creta,Compact SUV,Chhatrapati Sambhajinagar,Stylish compact SUV with modern features and comfortable interiors.,3200,8.7,98,Trending,/images/hyundai-creta.jpg,"AC, Sunroof, Wireless Charging, Ventilated Seats",Diesel,Automatic,5,1
Tata Nexon,Compact SUV,Chhatrapati Sambhajinagar,Compact SUV with excellent safety features and powerful performance.,2800,8.4,87,,/images/tata-nexon.jpg,"AC, Harman Audio, Sunroof, 5-Star Safety",Diesel,Manual,5,2
Innova Crysta,MUV,Chhatrapati Sambhajinagar,Premium 7-seater MUV with captain seats. Perfect for long journeys.,4500,9.0,156,Premium,/images/innova-crysta.jpg,"AC, Captain Seats, Rear Entertainment, GPS",Diesel,Automatic,7,3
Maruti Alto,Hatchback,Chhatrapati Sambhajinagar,Economical hatchback perfect for city driving. Great fuel efficiency.,1200,7.8,145,Budget,/images/maruti-alto.jpg,"AC, Music System",Petrol,Manual,4,5
Kia Seltos,Compact SUV,Chhatrapati Sambhajinagar,Feature-packed compact SUV with connected car technology and premium interiors.,3800,8.9,72,Tech-Savvy,/images/kia-seltos.jpg,"AC, Panoramic Sunroof, BOSE Audio, Connected Car",Petrol,Automatic,5,4
