name,type,location,description,price_per_night,rating,reviews,badge,image,amenities,room_type,max_guests,vendor_id
Hotel Renaissance Aurangabad,Luxury Hotel,"CIDCO N-12, Chhatrapati Sambhajinagar",A premium full-service hotel offering luxurious rooms multi-cuisine dining swimming pool and world-class amenities.,4500,8.9,312,Bestseller,/images/hotel-renaissance.jpg,"WiFi, Pool, Restaurant, Parking, AC, Gym, Spa",Deluxe Room,2,1
Panchakki Garden Stay,Heritage Hotel,"Near Panchakki, Chhatrapati Sambhajinagar",Experience heritage hospitality near the iconic Panchakki water-mill. Peaceful well-maintained rooms with garden views.,2200,8.2,184,,/images/panchakki.jpg,"WiFi, Garden, Restaurant, Parking",Standard Room,2,2
Budget Inn CSN,Budget Hotel,"Osmanpura, Chhatrapati Sambhajinagar",Clean affordable rooms with all essential amenities. Ideal for solo travelers and backpackers.,900,7.4,97,,/images/hotel-room-1.jpg,"WiFi, AC, Parking",Single Room,1,3
Grishneshwar Pilgrim Lodge,Guesthouse,"Khuldabad, near Ellora",Simple and peaceful stay near Grishneshwar Jyotirlinga temple. Ideal for pilgrims and heritage tourists.,750,7.8,56,,/images/grishneshwar-lodge.jpg,"WiFi, Parking",Standard Room,2,4
Standard Comfort Rooms,Hotel,"Jalna Road, Chhatrapati Sambhajinagar",Comfortable standard rooms with 24-hour room service free Wi-Fi and breakfast included.,1600,8.0,142,Popular,/images/hotel-room-standard.jpg,"WiFi, Restaurant, AC, Parking, Room Service",Standard Room,2,5
Ellora Heritage Resort,Resort,"Near Ellora Caves, Chhatrapati Sambhajinagar",Luxury resort with stunning views of Ellora hills. Features spa outdoor pool and fine dining restaurant.,5500,9.1,245,Luxury,/images/ellora-resort.jpg,"WiFi, Pool, Spa, Restaurant, Gym, Parking, AC",Suite,3,1
City Center Business Hotel,Business Hotel,"Jalna Road, Chhatrapati Sambhajinagar",Modern business hotel with conference rooms high-speed internet and executive lounge.,3200,8.4,178,,/images/business-hotel.jpg,"WiFi, Conference Room, Restaurant, Parking, AC",Business Room,2,2
Ajanta View Homestay,Homestay,"Fardapur, Near Ajanta",Cozy homestay with local hospitality. Perfect base for exploring Ajanta Caves.,1200,8.6,89,Homestay,/images/ajanta-homestay.jpg,"WiFi, Home-cooked meals, Parking",Private Room,3,3
Airport Transit Hotel,Transit Hotel,"Near Airport, Chhatrapati Sambhajinagar",Convenient hotel near airport with 24-hour check-in. Perfect for early morning flights.,1800,7.9,134,,/images/airport-hotel.jpg,"WiFi, 24hr Check-in, Restaurant, Parking, AC",Standard Room,2,4
Backpacker's Den Hostel,Hostel,"Osmanpura, Chhatrapati Sambhajinagar",Budget-friendly hostel with dormitory and private rooms. Common area and kitchen facilities.,500,8.2,267,Budget Friendly,/images/hostel.jpg,"WiFi, Common Kitchen, Lounge",Dormitory,6,5
